YEAR,DISEASE,DISEASE_DESCRIPTION,INCIDENCE_RATE
1993,TTETANUS,Total tetanus,8.188607594936709
1993,YFEVER,Yellow fever,0.975
1994,DIPHTHERIA,Diphtheria,8.661783439490446
1994,MEASLES,Measles,390.557671957672
1994,NTETANUS,Neonatal tetanus,0.08351063829787235
1994,PERTUSSIS,Pertussis,83.18797468354431
1994,POLIO,Poliomyelitis,
1994,TTETANUS,Total tetanus,6.704794520547945
1994,YFEVER,Yellow fever,4.218181818181818
1995,DIPHTHERIA,Diphtheria,12.275147928994082
1995,MEASLES,Measles,319.69319371727744
1995,NTETANUS,Neonatal tetanus,0.06243386243386244
1995,PERTUSSIS,Pertussis,64.29763313609467
1995,POLIO,Poliomyelitis,
1995,TTETANUS,Total tetanus,3.7377483443708606
1995,YFEVER,Yellow fever,12.09047619047619
1996,DIPHTHERIA,Diphtheria,5.581176470588235
1996,MEASLES,Measles,325.45675675675676
1996,NTETANUS,Neonatal tetanus,0.054098360655737705
1996,PERTUSSIS,Pertussis,71.59101796407187
1996,POLIO,Poliomyelitis,
1996,TTETANUS,Total tetanus,3.4499999999999997
1996,YFEVER,Yellow fever,1.3185185185185186
1997,CRS,Congenital rubella syndrome,3.62
1997,DIPHTHERIA,Diphtheria,2.7206703910614527
1997,MEASLES,Measles,506.5633165829145
1997,NTETANUS,Neonatal tetanus,0.05306122448979592
1997,PERTUSSIS,Pertussis,86.73351955307263
1997,POLIO,Poliomyelitis,
1997,RUBELLA,Rubella,192.46
1997,TTETANUS,Total tetanus,4.6380681818181815
1997,YFEVER,Yellow fever,0.271875
1998,CRS,Congenital rubella syndrome,0.7777777777777778
1998,DIPHTHERIA,Diphtheria,2.2634730538922154
1998,MEASLES,Measles,249.02277777777778
1998,NTETANUS,Neonatal tetanus,0.3584905660377358
1998,PERTUSSIS,Pertussis,148.49879518072288
1998,POLIO,Poliomyelitis,
1998,RUBELLA,Rubella,162.44230769230768
1998,TTETANUS,Total tetanus,13.356462585034015
1998,YFEVER,Yellow fever,0.28620689655172415
1999,CRS,Congenital rubella syndrome,0.62
1999,DIPHTHERIA,Diphtheria,2.4548780487804875
1999,MEASLES,Measles,288.1054945054945
1999,MUMPS,Mumps,1007.2231707317073
1999,NTETANUS,Neonatal tetanus,0.08364779874213837
1999,PERTUSSIS,Pertussis,48.22105263157894
1999,POLIO,Poliomyelitis,
1999,RUBELLA,Rubella,256.8881188118812
1999,TTETANUS,Total tetanus,4.270666666666667
1999,YFEVER,Yellow fever,0.16590909090909092
2000,CRS,Congenital rubella syndrome,0.10588235294117647
2000,DIPHTHERIA,Diphtheria,1.3825301204819278
2000,MEASLES,Measles,215.02732240437157
2000,MUMPS,Mumps,352.0471153846154
2000,NTETANUS,Neonatal tetanus,0.35624999999999996
2000,PERTUSSIS,Pertussis,44.55838150289018
2000,POLIO,Poliomyelitis,2.4961538461538457
2000,RUBELLA,Rubella,164.62612612612614
2000,TTETANUS,Total tetanus,12.041463414634146
2000,YFEVER,Yellow fever,0.9372727272727273
2001,CRS,Congenital rubella syndrome,0.060638297872340416
2001,DIPHTHERIA,Diphtheria,1.1487951807228916
2001,MEASLES,Measles,232.3904761904762
2001,MUMPS,Mumps,296.6513274336283
2001,NTETANUS,Neonatal tetanus,0.3439560439560439
2001,PERTUSSIS,Pertussis,46.04425287356322
2001,POLIO,Poliomyelitis,0.07184466019417476
2001,RUBELLA,Rubella,144.6848
2001,TTETANUS,Total tetanus,11.463750000000001
2001,YFEVER,Yellow fever,0.6537931034482758
2002,CRS,Congenital rubella syndrome,0.009411764705882354
2002,DIPHTHERIA,Diphtheria,1.0532934131736527
2002,JAPENC,Japanese encephalitis,0.8
2002,MEASLES,Measles,174.62185792349726
2002,MUMPS,Mumps,190.0848484848485
2002,NTETANUS,Neonatal tetanus,0.05988372093023256
2002,PERTUSSIS,Pertussis,33.13372781065089
2002,POLIO,Poliomyelitis,0.06510416666666667
2002,RUBELLA,Rubella,133.9228813559322
2002,TTETANUS,Total tetanus,4.2787500000000005
2002,YFEVER,Yellow fever,0.5398373983739837
2003,CRS,Congenital rubella syndrome,0.031313131313131314
2003,DIPHTHERIA,Diphtheria,1.04093567251462
2003,JAPENC,Japanese encephalitis,0.6
2003,MEASLES,Measles,263.32538860103625
2003,MUMPS,Mumps,148.16565656565658
2003,NTETANUS,Neonatal tetanus,0.043820224719101124
2003,PERTUSSIS,Pertussis,27.785964912280704
2003,POLIO,Poliomyelitis,0.12634146341463415
2003,RUBELLA,Rubella,306.20575539568347
2003,TTETANUS,Total tetanus,2.46125
2003,YFEVER,Yellow fever,0.5970802919708029
2004,CRS,Congenital rubella syndrome,0.0660377358490566
2004,DIPHTHERIA,Diphtheria,0.377710843373494
2004,JAPENC,Japanese encephalitis,0.6
2004,MEASLES,Measles,122.00663265306122
2004,MUMPS,Mumps,138.60325203252034
2004,NTETANUS,Neonatal tetanus,0.027485380116959064
2004,PERTUSSIS,Pertussis,59.099999999999994
2004,POLIO,Poliomyelitis,0.30198019801980197
2004,RUBELLA,Rubella,69.48108108108107
2004,TTETANUS,Total tetanus,2.7352201257861632
2004,YFEVER,Yellow fever,0.24160583941605834
2005,CRS,Congenital rubella syndrome,0.010619469026548672
2005,DIPHTHERIA,Diphtheria,0.8310344827586207
2005,JAPENC,Japanese encephalitis,1.2
2005,MEASLES,Measles,87.02606382978723
2005,MUMPS,Mumps,283.91129032258067
2005,NTETANUS,Neonatal tetanus,0.026404494382022473
2005,PERTUSSIS,Pertussis,37.62857142857143
2005,POLIO,Poliomyelitis,0.5551020408163266
2005,RUBELLA,Rubella,51.23870967741936
2005,TTETANUS,Total tetanus,2.2134502923976607
2005,YFEVER,Yellow fever,0.3769230769230769
2006,CRS,Congenital rubella syndrome,0.029245283018867925
2006,DIPHTHERIA,Diphtheria,0.270625
2006,JAPENC,Japanese encephalitis,0.23870967741935484
2006,MEASLES,Measles,34.91803278688525
2006,MUMPS,Mumps,256.06638655462183
2006,NTETANUS,Neonatal tetanus,0.02586206896551724
2006,PERTUSSIS,Pertussis,33.72608695652174
2006,POLIO,Poliomyelitis,0.3026041666666666
2006,RUBELLA,Rubella,55.25759493670886
2006,TTETANUS,Total tetanus,2.620987654320988
2006,YFEVER,Yellow fever,0.4281481481481481
2007,CRS,Congenital rubella syndrome,0.01
2007,DIPHTHERIA,Diphtheria,0.17714285714285713
2007,JAPENC,Japanese encephalitis,0.5572815533980583
2007,MEASLES,Measles,20.710309278350515
2007,MUMPS,Mumps,309.2923076923077
2007,NTETANUS,Neonatal tetanus,0.014594594594594595
2007,PERTUSSIS,Pertussis,30.066666666666663
2007,POLIO,Poliomyelitis,0.10466321243523316
2007,RUBELLA,Rubella,29.903508771929825
2007,TTETANUS,Total tetanus,2.1874316939890712
2007,YFEVER,Yellow fever,0.03933333333333333
2008,CRS,Congenital rubella syndrome,0.02764227642276423
2008,DIPHTHERIA,Diphtheria,0.24096385542168675
2008,JAPENC,Japanese encephalitis,0.6273684210526316
2008,MEASLES,Measles,17.69842105263158
2008,MUMPS,Mumps,158.48888888888888
2008,NTETANUS,Neonatal tetanus,0.014606741573033709
2008,PERTUSSIS,Pertussis,32.079532163742684
2008,POLIO,Poliomyelitis,0.1979274611398964
2008,RUBELLA,Rubella,129.275
2008,TTETANUS,Total tetanus,2.237158469945355
2008,YFEVER,Yellow fever,0.26776315789473687
2009,CRS,Congenital rubella syndrome,0.5353846153846153
2009,DIPHTHERIA,Diphtheria,0.16936416184971098
2009,JAPENC,Japanese encephalitis,0.375531914893617
2009,MEASLES,Measles,49.09230769230769
2009,MUMPS,Mumps,101.92464788732394
2009,NTETANUS,Neonatal tetanus,0.01358695652173913
2009,PERTUSSIS,Pertussis,39.02808988764045
2009,POLIO,Poliomyelitis,0.5041916167664671
2009,RUBELLA,Rubella,135.03238636363636
2009,TTETANUS,Total tetanus,2.023936170212766
2009,YFEVER,Yellow fever,0.0695364238410596
2010,CRS,Congenital rubella syndrome,0.1323308270676692
2010,DIPHTHERIA,Diphtheria,0.1781609195402299
2010,JAPENC,Japanese encephalitis,0.3351063829787234
2010,MEASLES,Measles,101.51785714285714
2010,MUMPS,Mumps,179.6164383561644
2010,NTETANUS,Neonatal tetanus,0.015135135135135137
2010,PERTUSSIS,Pertussis,40.42290502793296
2010,POLIO,Poliomyelitis,2.2978947368421054
2010,RUBELLA,Rubella,9.180113636363636
2010,TTETANUS,Total tetanus,1.5902702702702702
2010,YFEVER,Yellow fever,0.17651006711409398
2011,CRS,Congenital rubella syndrome,0.018115942028985508
2011,DIPHTHERIA,Diphtheria,0.17953216374269004
2011,JAPENC,Japanese encephalitis,0.24166666666666667
2011,MEASLES,Measles,50.539593908629435
2011,MUMPS,Mumps,149.11214285714286
2011,NTETANUS,Neonatal tetanus,0.015591397849462365
2011,PERTUSSIS,Pertussis,49.633714285714284
2011,POLIO,Poliomyelitis,0.28536585365853656
2011,RUBELLA,Rubella,10.200000000000001
2011,TTETANUS,Total tetanus,1.9232044198895029
2011,YFEVER,Yellow fever,1.2809210526315788
2012,CRS,Congenital rubella syndrome,0.06764705882352941
2012,DIPHTHERIA,Diphtheria,0.2941520467836257
2012,JAPENC,Japanese encephalitis,0.6569767441860465
2012,MEASLES,Measles,42.452551020408166
2012,MUMPS,Mumps,94.7
2012,NTETANUS,Neonatal tetanus,0.014754098360655738
2012,PERTUSSIS,Pertussis,55.94883720930233
2012,POLIO,Poliomyelitis,0.05748502994011976
2012,RUBELLA,Rubella,12.551648351648351
2012,TTETANUS,Total tetanus,1.7307262569832402
2012,YFEVER,Yellow fever,0.18783783783783783
2013,CRS,Congenital rubella syndrome,0.02900763358778626
2013,DIPHTHERIA,Diphtheria,0.24233128834355827
2013,JAPENC,Japanese encephalitis,0.2747126436781609
2013,MEASLES,Measles,40.86448087431694
2013,MUMPS,Mumps,61.84307692307693
2013,NTETANUS,Neonatal tetanus,0.014619883040935672
2013,PERTUSSIS,Pertussis,41.84390243902439
2013,POLIO,Poliomyelitis,0.25059523809523804
2013,RUBELLA,Rubella,13.76878612716763
2013,TTETANUS,Total tetanus,1.858857142857143
2013,TYPHOID,Typhoid,1.7
2013,YFEVER,Yellow fever,0.04680851063829787
2014,CRS,Congenital rubella syndrome,0.026890756302521007
2014,DIPHTHERIA,Diphtheria,0.40069444444444446
2014,JAPENC,Japanese encephalitis,0.989855072463768
2014,MEASLES,Measles,46.03625730994152
2014,MUMPS,Mumps,35.68888888888889
2014,NTETANUS,Neonatal tetanus,0.007534246575342466
2014,PERTUSSIS,Pertussis,39.720666666666666
2014,POLIO,Poliomyelitis,11.897619047619047
2014,RUBELLA,Rubella,7.825903614457831
2014,TTETANUS,Total tetanus,1.4006944444444445
2014,TYPHOID,Typhoid,2.8
2014,YFEVER,Yellow fever,0.018032786885245903
2015,CRS,Congenital rubella syndrome,0.031060606060606066
2015,DIPHTHERIA,Diphtheria,0.7417218543046358
2015,JAPENC,Japanese encephalitis,0.7897435897435897
2015,MEASLES,Measles,82.4888888888889
2015,MUMPS,Mumps,139.83629032258065
2015,NTETANUS,Neonatal tetanus,0.013907284768211922
2015,PERTUSSIS,Pertussis,40.96387096774193
2015,POLIO,Poliomyelitis,0.04910179640718562
2015,RUBELLA,Rubella,4.713450292397661
2015,TTETANUS,Total tetanus,1.635135135135135
2015,TYPHOID,Typhoid,2.8
2015,YFEVER,Yellow fever,0.025
2016,CRS,Congenital rubella syndrome,0.013043478260869566
2016,DIPHTHERIA,Diphtheria,0.8774834437086093
2016,JAPENC,Japanese encephalitis,0.5506172839506173
2016,MEASLES,Measles,73.86428571428571
2016,MUMPS,Mumps,86.38787878787879
2016,NTETANUS,Neonatal tetanus,0.013245033112582781
2016,PERTUSSIS,Pertussis,42.50897435897436
2016,POLIO,Poliomyelitis,0.014285714285714287
2016,RUBELLA,Rubella,2.7285714285714286
2016,TTETANUS,Total tetanus,1.8918367346938778
2016,TYPHOID,Typhoid,3.1
2016,YFEVER,Yellow fever,0.27686567164179104
2017,CRS,Congenital rubella syndrome,0.02738853503184713
2017,DIPHTHERIA,Diphtheria,0.5941860465116279
2017,JAPENC,Japanese encephalitis,0.3842696629213483
2017,MEASLES,Measles,44.221500000000006
2017,MUMPS,Mumps,85.49103448275862
2017,NTETANUS,Neonatal tetanus,0.010588235294117647
2017,PERTUSSIS,Pertussis,36.11257142857143
2017,POLIO,Poliomyelitis,0.06785714285714287
2017,RUBELLA,Rubella,2.607291666666667
2017,TTETANUS,Total tetanus,1.3354037267080745
2017,TYPHOID,Typhoid,3.0
2017,YFEVER,Yellow fever,0.041176470588235294
2018,CRS,Congenital rubella syndrome,0.01761006289308176
2018,DIPHTHERIA,Diphtheria,0.9415300546448088
2018,JAPENC,Japanese encephalitis,0.19081632653061223
2018,MEASLES,Measles,53.34313725490196
2018,MUMPS,Mumps,88.51379310344828
2018,NTETANUS,Neonatal tetanus,0.00913978494623656
2018,PERTUSSIS,Pertussis,44.167027027027025
2018,POLIO,Poliomyelitis,0.0671957671957672
2018,RUBELLA,Rubella,2.2636363636363637
2018,TTETANUS,Total tetanus,2.408536585365854
2018,TYPHOID,Typhoid,10.022142857142857
2018,YFEVER,Yellow fever,0.31472392638036806
2019,CRS,Congenital rubella syndrome,0.015972222222222224
2019,DIPHTHERIA,Diphtheria,1.2716867469879518
2019,JAPENC,Japanese encephalitis,0.4708333333333334
2019,MEASLES,Measles,287.36834170854274
2019,MUMPS,Mumps,78.77867647058824
2019,NTETANUS,Neonatal tetanus,0.010526315789473684
2019,PERTUSSIS,Pertussis,35.21686746987952
2019,POLIO,Poliomyelitis,0.15851063829787235
2019,RUBELLA,Rubella,3.748969072164948
2019,TTETANUS,Total tetanus,1.4687898089171973
2019,TYPHOID,Typhoid,54.89059829059829
2019,YFEVER,Yellow fever,0.08310810810810812
2020,CRS,Congenital rubella syndrome,0.05259259259259259
2020,DIPHTHERIA,Diphtheria,0.5974358974358974
2020,INVASIVE_MENING,Invasive meningococcal disease,25.43134328358209
2020,JAPENC,Japanese encephalitis,0.1236842105263158
2020,MEASLES,Measles,23.627586206896552
2020,MUMPS,Mumps,48.01777777777777
2020,NTETANUS,Neonatal tetanus,0.014024390243902438
2020,PERTUSSIS,Pertussis,14.705095541401276
2020,POLIO,Poliomyelitis,0.4703703703703704
2020,RUBELLA,Rubella,1.8226993865030676
2020,TTETANUS,Total tetanus,1.6777777777777776
2020,TYPHOID,Typhoid,304.8128
2020,YFEVER,Yellow fever,0.36666666666666664
2021,CRS,Congenital rubella syndrome,0.027464788732394364
2021,DIPHTHERIA,Diphtheria,0.6882716049382716
2021,INVASIVE_MENING,Invasive meningococcal disease,4.894326241134752
2021,JAPENC,Japanese encephalitis,0.07368421052631578
2021,MEASLES,Measles,15.153409090909092
2021,MUMPS,Mumps,26.284397163120566
2021,NTETANUS,Neonatal tetanus,0.01951219512195122
2021,PERTUSSIS,Pertussis,4.285534591194969
2021,POLIO,Poliomyelitis,0.21176470588235294
2021,RUBELLA,Rubella,2.242441860465116
2021,TTETANUS,Total tetanus,1.5698795180722893
2021,TYPHOID,Typhoid,470.4151515151515
2021,YFEVER,Yellow fever,0.17762237762237762
2022,CRS,Congenital rubella syndrome,0.047058823529411764
2022,DIPHTHERIA,Diphtheria,0.683625730994152
2022,INVASIVE_MENING,Invasive meningococcal disease,4.474829931972788
2022,JAPENC,Japanese encephalitis,0.19827586206896552
2022,MEASLES,Measles,43.06594594594595
2022,MUMPS,Mumps,88.42214765100671
2022,NTETANUS,Neonatal tetanus,0.011046511627906978
2022,PERTUSSIS,Pertussis,5.380346820809248
2022,POLIO,Poliomyelitis,0.49250000000000005
2022,RUBELLA,Rubella,3.4373563218390806
2022,TTETANUS,Total tetanus,1.3433333333333335
2022,TYPHOID,Typhoid,486.0888111888112
2022,YFEVER,Yellow fever,0.07581699346405228
2023,CRS,Congenital rubella syndrome,0.06928104575163399
2023,DIPHTHERIA,Diphtheria,1.7971590909090909
2023,INVASIVE_MENING,Invasive meningococcal disease,2.1542857142857144
2023,JAPENC,Japanese encephalitis,0.2222222222222222
2023,MEASLES,Measles,81.17925531914894
2023,MUMPS,Mumps,203.33793103448275
2023,NTETANUS,Neonatal tetanus,0.028409090909090908
2023,PERTUSSIS,Pertussis,39.50701754385965
2023,POLIO,Poliomyelitis,0.5227272727272727
2023,RUBELLA,Rubella,6.5940540540540535
2023,TTETANUS,Total tetanus,5.663888888888889
2023,TYPHOID,Typhoid,670.8913333333334
2023,YFEVER,Yellow fever,0.24545454545454543
